ICAO,NAME
ARS,Aeromet Servicios
AXH,Aeromexhaga
AMX,Aeroméxico
MPX,Aeromexpress
MNI,Aeromilenio
AHW,Aeromist-Kharkiv
MRL,Aeromorelos
OVE,Aeromover
MUN,Aeromundo Ejecutivo
AXI,"Aeron International Airlines, Inc."
GGL,Aeronáutica
ECL,Aeronautica Castellana
ESZ,Aeronautica Le Esperanza
EVR,Aeronautical Academy of Europe
XAA,Aeronautical Radio Inc
AET,Aeronautical Radio of Thailand
AGA,Aeronaves Del Centro
DRO,Aeronaves Del Noreste
ENW,Aeronaves Del Noroeste
VTM,Aeronaves TSM
KTN,Aeronavigaciya
RNM,Aeronem Air Cargo
NID,Aeroni
GCF,Aeronor
NRP,Aeronord-Grup
RTE,Aeronorte
STK,Aeropac
PEL,Aeropelican Air Services
PLI,Aeroperú
AOP,Aeropiloto
PCG,Aeropostal Cargo de Mexico
APO,Aeropro
MOP,Aeropublicitaria De Angola
PUE,Aeropuelche
APU,"Aeropuma, S.A."
PUT,Aeroput
AMM,Aeroputul International Marculesti
PYC,Aeropycsa
SBH,Aerosaab
ESB,Aerosaba
FIC,Aerosafin
OSN,Aerosan
ERK,Aerosec
SGV,Aerosegovia
RBJ,Aeroserivios Del Bajio
CJE,Aeroservices Corporate
PSE,Aeroservicio Sipse
PIF,Aeroservicios California Pacifico
PSL,Aeroservicios Corporativos De San Luis
TAA,Aeroservicios de La Costa
NUL,Aeroservicios De Nuevo Leon
SUO,Aeroservicios De San Luis
DMI,Aeroservicios Dinamicos
EAE,Aeroservicios Ecuatorianos
EJP,Aeroservicios Ejecutivos Corporativos
AEO,Aeroservicios Ejecutivos Del Occidente
SPO,Aeroservicios Ejecutivos Del Pacifico
GMS,Aeroservicios Gama
INO,Aeroservicios Intergrados de Norte
RJS,Aeroservicios Jet
SVM,Aeroservicios Monterrey
SIY,Aerosiyusa
JPR,Aerosmith Aviation
UAR,Aerostar Airlines
KRE,AeroSucre
SYT,Aerosud Aviation
MDX,Aerosud Charter
ASI,"Aerosun International, Inc."
SUP,Aerosuper
RSU,Aerosur
AEW,Aerosvit Airlines
ATK,AeroTACA
ART,Aerotal Aerolineas Territoriales de Colombia Ltda
ITE,Aerotaxi
CBO,Aerotaxi del Cabo
AOX,Aerotaxi Del Valle
GTP,Aerotaxi Grupo Tampico
MXO,Aerotaxi Mexicano
VRI,Aerotaxi Villa Rica
BTS,Aerotaxis Albatros
TXF,Aerotaxis Alfe
IMN,Aerotaxis Cimarron
GUA,Aerotaxis de Aguascalientes
BHC,Aerotaxis De La Bahia
TXD,Aerotaxis del Noroeste
DML,Aerotaxis Dosmil
GMM,Aerotaxis Guamuchil
LTI,Aerotaxis Latinoamericanos
MTB,Aerotaxis Metropolitanos
AEP,Aerotec
ATD,Aerotours Dominicana
CDU,Aerotrans
ATG,Aerotrans Airline
AED,Aerotrans Airlines
TCO,Aerotranscolombina de Carga
PET,Aerotransporte Petrolero
CRP,Aerotransportes Corporativos
HUT,Aerotransportes Huitzilin
RRE,Aerotransportes Internacionales De Torreon
PRI,Aerotransportes Privados
PVA,Aerotransportes Privados
RFD,Aerotransportes Rafilher
TBL,Aerotrebol
TOC,Aerotropical
RTU,Aerotucan
RAI,Aerotur-Air
TQS,Aeroturquesa
ALL,Aerovallarta
AVY,"Aerovaradero, S.A."
VEG,Aerovega
AEV,Aeroventas
ABU,Aerovias Bueno
CBE,Aerovias Caribe
CLL,Aerovias Castillo
DAP,Aerovías DAP
LAG,Aerovias De Lagos
GFO,Aerovias del Golfo
OVI,Aerovias Ejecutivas
MZL,Aerovias Montes Azules
OVC,Aerovic
VVG,Aerovilla
VIZ,Aerovis Airlines
AAP,Aerovista Airlines
VGF,Aerovista Gulf Express
VRO,Aerovitro
VUO,Aerovuelox
AWY,"Aeroway, S.L."
RXT,Aeroxtra
DNC,Aeroynamics Malaga
DST,Aex Air
FAN,AF-Air International
KIE,Afit
UAG,Afra Airlines
AFK,Africa Air Links
GIZ,Africa Airlines
AFY,Africa Chartered Services
AFZ,Africa Freight Services
AZL,Africa One
CFR,Africa One
WTA,Africa West
FFB,Africair Service
AIK,African Airlines International Limited
ABB,African Business and Transportations
AXK,African Express Airways
AIN,African International Airways
GIL,African International Transport
FDS,African Medical and Research Foundation
ASG,African Star Airways (PTY) Ltd.
AFC,African West Air
AFI,Africaone
FRJ,Afrijet Airlines
FRK,Afrika Aviation Handlers
AFU,Afrinat International Airlines
AAW,Afriqiyah Airways
NFS,Afrique CArgo Service Senegal
AFW,Afrique Regional Airways
AOR,Afro International Ent. Limited
ZZM,Agence Nationale des Aerodromes et de la Meteorolo
GRR,Agroar Carga Aérea
GSV,Agrocentr-Avia
AGZ,Agrolet-Mci
GME,Aguilas Mayas Internacional
AAF,Aigle Azur
BRM,Air 500
RUN,Air ACT
