ICAO,NAME
KOXD,Miami University Airport
KOXI,Starke County Airport
KOXR,Oxnard Airport
KOXV,Knoxville Municipal Airport
KOYM,St. Marys Municipal Airport
KOZA,Ozona Municipal Airport
KOZR,Cairns Army Airfield (Fort Rucker)
KOZW,Livingston County Airport
KP14,Holbrook Municipal Airport
KP33,Cochise County Airport
KPAE,Paine Field
KPAH,Barkley Regional Airport
KPAM,Tyndall Air Force Base
KPAN,Payson Airport
KPAO,Palo Alto Airport
KPBF,Grider Field
KPBG,Plattsburgh International Airport
KPBI,Palm Beach International Airport
KPBX,Pike County Airport (Hatcher Field)
KPCW,Carl R. Keller Field
KPDC,Prairie du Chien Municipal Airport
KPDK,DeKalb-Peachtree Airport
KPDT,Eastern Oregon Regional Airport
KPDX,Portland International Airport
KPEA,Pella Municipal Airport
KPEO,Penn Yan Airport
KPEQ,Pecos Municipal Airport
KPEX,Paynesville Municipal Airport
KPFC,Pacific City State Airport
KPFN,Panama City-Bay County International Airport
KPGA,Page Municipal Airport
KPGD,Charlotte County Airport
KPGR,Kirk Field
KPGV,Pitt-Greenville Airport
KPHD,Harry Clever Field
KPHF,Newport News/Williamsburg International Airport
KPHG,Phillipsburg Municipal Airport
KPHH,Robert F. Swinnie Airport
KPHK,Palm Beach County Glades Airport
KPHL,Philadelphia International Airport
KPHN,St. Clair County International Airport
KPHP,Philip Airport
KPHT,Henry County Airport
KPHX,Sky Harbor International Airport
KPIA,General Wayne A. Downing Peoria International Airport
KPIB,Hattiesburg-Laurel Regional Airport
KPIE,St. Petersburg-Clearwater International Airport
KPIH,Pocatello Regional Airport
KPIM,Callaway Gardens-Harris County Airport
KPIR,Pierre Regional Airport
KPIT,Pittsburgh International Airport
KPJY,Pinckneyville-Du Quoin Airport
KPJZ,Puerto Juarez
KPKB,Mid-Ohio Valley Regional Airport
KPKD,Park Rapids Municipal Airport (Konshok Field)
KPKF,Park Falls Municipal Airport
KPLB,Clinton County Airport
KPLD,Portland Municipal Airport
KPLK,M. Graham Clark - Taney County Airport
KPLN,Pellston Regional Airport
KPLR,St. Clair County Airport
KPMB,Pembina Municipal Airport
KPMD,Palmdale Regional Airport
KPMH,Greater Portsmouth Regional Airport
KPMP,Pompano Beach Airpark
KPMU,Panola County Airport
KPMZ,Plymouth Municipal Airport
KPNA,Ralph Wenz Field
KPNC,Ponca City Regional Airport
KPNE,Northeast Philadelphia Airport
KPNM,Princeton Municipal Airport (Minnesota)
KPNN,Princeton Municipal Airport (Maine)
KPNS,Pensacola Regional Airport
KPNT,Pontiac Municipal Airport
KPOB,Pope Air Force Base
KPOC,Brackett Field
KPOE,Polk Army Airfield
KPOF,Poplar Bluff Municipal Airport
KPOH,Pocahontas Municipal Airport
KPOU,Dutchess County Airport
KPOY,Powell Municipal Airport
KPPA,Perry Lefors Field
KPPF,Tri-City Airport
KPPO,La Porte Municipal Airport
KPPQ,Pittsfield Penstone Municipal Airport
KPQI,Northern Maine Regional Airport at Presque Isle
KPQL,Trent Lott International Airport
KPQN,Pipestone Municipal Airport
KPRB,Paso Robles Municipal Airport
KPRC,Ernest A. Love Field
KPRG,Edgar County Airport
KPRO,Perry Municipal Airport
KPRX,Cox Field
KPRZ,Portales Municipal Airport
KPSB,Mid-State Airport
KPSC,Tri-Cities Airport
KPSF,Pittsfield Municipal Airport
KPSK,New River Valley Airport
KPSM,Portsmouth International Airport at Pease
KPSN,Palestine Municipal Airport
KPSP,Palm Springs International Airport
KPSX,Palacios Municipal Airport
KPTB,Dinwiddie County Airport
KPTD,Potsdam Municipal Airport (Damon Field)
KPTK,Oakland County International Airport
KPTN,Harry P. Williams Memorial Airport
KPTS,Atkinson Municipal Airport
KPTT,Pratt Industrial Airport
KPTV,Porterville Municipal Airport
KPTW,Pottstown Limerick Airport
KPUB,Pueblo Memorial Airport
KPUC,Carbon County Airport
KPUW,Pullman-Moscow Regional Airport
KPVB,Platteville Municipal Airport
KPVC,Provincetown Municipal Airport
KPVD,Theodore Francis Green State Airport
KPVF,Placerville Airport
KPVJ,Pauls Valley Municipal Airport
KPVU,Provo Municipal Airport
KPVW,Hale County Airport
KPWA,Wiley Post Airport
KPWC,Pine River Regional Airport
KPWD,Sher-Wood Airport
KPWG,McGregor Executive Airport
KPWK,Chicago Executive Airport
KPWM,Portland International Jetport (formerly Portland-Westbrook
KPWT,Bremerton National Airport
KPXE,Perry-Houston County Airport
KPYM,Plymouth Municipal Airport
KPYN,Piedmont Municipal Airport
KPYX,Perryton Ochiltree County Airport
KPZQ,Presque Isle County Airport
KRAC,John H. Batten Airport
KRAL,Riverside Municipal Airport
KRAP,Rapid City Regional Airport
KRAS,Mustang Beach Airport
KRAW,Warsaw Municipal Airport
KRBD,Dallas Executive Airport
KRBE,Rock County Airport
KRBG,Roseburg Regional Airport
KRBL,Red Bluff Municipal Airport
KRBM,Robinson AAF/NG
KRBO,Nueces County Airport
KRBW,Lowcountry Regional Airport
KRCA,Ellsworth AFB
KRCK,H. H. Coffield Regional Airport
KRCR,Fulton County Airport
KRCT,Nartron Field
KRCX,Rusk County Airport
KRDD,Redding Municipal Airport
KRDG,Reading Regional Airport (Carl A. Spaatz Field)
KRDK,Red Oak Municipal Airport
KRDM,Roberts Field
KRDR,Grand Forks AFB
KRDU,Raleigh-Durham International Airport
KRED,Red Lodge Airport
KREO,Rome State Airport
KRFD,Chicago Rockford International Airport
KRFG,Rooke Field
KRGB,Roseburg Regional Airport
KRGK,Red Wing Regional Airport
KRHI,Rhinelander-Oneida County Airport
KRHP,Andrews-Murphy Airport
KRHV,Reid-Hillview Airport of Santa Clara County
KRIC,Richmond International Airport
KRID,Richmond Municipal Airport
KRIF,Richfield Municipal Airport
KRIL,Garfield County Regional Airport
KRIR,Flabob Airport
KRIU,Rancho Murieta Airport
KRIV,March ARB
KRIW,Riverton Regional Airport
KRJD,Ridgely Airpark
KRKD,Knox County Regional Airport
KRKP,Aransas County Airport
KRKR,Robert S. Kerr Airport
KRKS,Rock Springs-Sweetwater County Airport
KRKW,Rockwood Municipal Airport
KRLD,Richland Airport
KRME,Griffiss Airpark
KRMG,Richard B. Russell Airport
KRMN,Stafford Regional Airport
KRMY,Brooks Field
KRNC,Warren County Memorial Airport
KRND,Randolph AFB
KRNH,New Richmond Regional Airport
KRNM,Ramona Airport
KRNO,Reno-Tahoe International Airport
KRNP,Owosso Community Airport
KRNT,Renton Municipal Airport
KRNV,Cleveland Municipal Airport
KROA,Roanoke Regional Airport (Woodrum Field)
KROC,Greater Rochester International Airport
KROG,Rogers Municipal Airport (Carter Field)
KROW,Roswell International Air Center
KROX,Roseau Municipal Airport (Rudy Billberg Field)
KRPB,Belleville Municipal Airport
KRPH,Graham Municipal Airport
KRPJ,Rochelle Municipal Airport (Koritz Field)
KRPX,Roundup Airport
KRQB,Roben-Hood Airport
KRQE,Window Rock Airport
KRQO,El Reno Regional Airport
KRRL,Merrill Municipal Airport
KRRQ,Rock Rapids Municipal Airport
KRRT,Warroad International Airport (Swede Carlson Field)
KRSL,Russell Municipal Airport
KRSN,Ruston Regional Airport
KRST,Rochester International Airport
KRSV,Robinson Municipal Airport
KRSW,Southwest Florida International Airport
KRTN,Raton Municipal Airport (Crews Field)
KRUE,Russellville Regional Airport
KRUG,Rugby Municipal Airport
KRUQ,Rowan County Airport
KRUT,Rutland State Airport
KRVJ,Reidsville Municipal Airport (Swinton Smith Field)
KRVL,Mifflin County Airport
KRVN,Hawkins County Airport
KRVS,Richard Lloyd Jones Jr. Airport
KRWF,Redwood Falls Municipal Airport
KRWI,Rocky Mount-Wilson Regional Airport
KRWL,Rawlins Municipal Airport (Harvey Field)
KRWN,Arens Field
KRXE,Rexburg-Madison County Airport
KRYM,Ray S. Miller AAF/NG
KRYN,Ryan Field
KRYV,"Watertown Municipal Airport, Watertown, Wisconsin, United St"
KRYY,Cobb County Airport (McCollum Field)
KRZL,Jasper County Airport
KRZN,Burnett County Airport
KRZT,Ross County Airport
KRZZ,Halifax County Airport
KS03,Ashland Municipal Sumner Parker Field
KS98,Vista Field
KSAA,Shively Field
KSAC,Sacramento Executive Airport
KSAD,Safford Regional Airport
KSAF,Santa Fe Municipal Airport
KSAN,San Diego International Airport
KSAR,Sparta Community Airport (Hunter Field)
KSAS,Salton Sea Airport
KSAT,San Antonio International Airport
KSAV,Savannah/Hilton Head International Airport
KSAW,Sawyer International Airport
KSAZ,Staples Municipal Airport
KSBA,Santa Barbara Municipal Airport
KSBD,San Bernardino International Airport
KSBM,Sheboygan County Memorial Airport
KSBN,South Bend Regional Airport
KSBO,Emanuel County Airport
KSBP,San Luis Obispo County Regional Airport
KSBS,Steamboat Springs Airport (Bob Adams Field)
KSBU,Blue Earth Municipal Airport
KSBX,Shelby Airport
KSBY,Salisbury-Ocean City Wicomico Regional Airport
KSCB,Scribner State Airport
KSCH,Schenectady County Airport
KSCK,Stockton Metropolitan Airport
KSCX,Salina Cruz Airport
KSDA,Shenandoah Municipal Airport
KSDF,Louisville International Airport (Standiford Field)
KSDL,Scottsdale Airport
KSDM,Brown Field Municipal Airport
KSDY,Sidney-Richland Municipal Airport
KSEA,Seattle-Tacoma International Airport
KSEE,Gillespie Field
KSEF,Sebring Regional Airport
KSEG,Penn Valley Airport
KSEM,Craig Field
KSEP,Clark Field Municipal Airport
KSEQ,Randolph AFB Aux.
KSER,Freeman Municipal Airport
KSET,St. Charles County Smartt Airport
KSEZ,Sedona Airport
KSFB,Orlando Sanford International Airport
KSFD,Bob Wiley Field
KSFF,Felts Field
KSFM,Sanford Regional Airport
KSFO,San Francisco International Airport
KSFQ,Suffolk Executive Airport
KSFY,Tri-Township Airport
KSFZ,North Central State Airport
KSGF,Springfield-Branson National Airport
KSGH,Springfield-Beckley Municipal Airport
KSGJ,St. Augustine Airport
KSGR,Sugar Land Regional Airport
KSGS,South St. Paul Municipal Airport (Richard E. Fleming Field)
KSGT,Stuttgart Municipal Airport
KSGU,St. George Municipal Airport
KSHD,Shenandoah Valley Regional Airport
KSHL,Sheldon Municipal Airport
KSHN,Sanderson Field
KSHR,Sheridan County Airport
KSHV,Shreveport Regional Airport
KSIK,Sikeston Memorial Municipal Airport
KSIV,Sullivan County Airport
KSIY,Siskiyou County Airport
KSJC,Norman Y. Mineta San José International Airport
KSJN,St. Johns Industrial Air Park
KSJT,San Angelo Regional Airport (Mathis Field)
KSJX,Beaver Island Airport
KSKA,Fairchild AFB
KSKF,Lackland AFB (Kelly Field Annex)
KSKI,Sac City Municipal Airport
KSKX,Taos Regional Airport
KSKY,Griffing Sandusky Airport
KSLB,Storm Lake Municipal Airport
KSLC,Salt Lake City International Airport
KSLE,McNary Field
KSLG,Smith Field
KSLH,Cheboygan County Airport
KSLI,Los Alamitos Army Airfield
KSLJ,Hagler Army Airfield
KSLK,Adirondack Regional Airport
KSLN,Salina Municipal Airport
KSLO,Salem-Leckrone Airport
KSLR,Sulphur Springs Municipal Airport
KSMD,Smith Field
KSME,Somerset-Pulaski County Airport (J.T. Wilson Field)
KSMF,Sacramento International Airport
KSMN,Lemhi County Airport
KSMO,Santa Monica Municipal Airport
KSMS,Sumter Airport
KSMX,Santa Maria Public Airport (Capt. G. Allan Hancock Field)
KSNA,John Wayne Airport
KSNC,Chester Airport
KSNH,Savannah-Hardin County Airport
KSNK,Winston Field
KSNL,Shawnee Regional Airport
KSNS,Salinas Municipal Airport
KSNY,Sidney Municipal Airport (Lloyd W. Carr Field)
KSOA,Sonora Municipal Airport
KSOP,Moore County Airport
KSOW,Show Low Regional Airport
KSOY,Sioux Center Municipal Airport
KSPA,Spartanburg Downtown Memorial Airport
KSPF,Black Hills Airport (Clyde Ice Field)
KSPG,Albert Whitted Airport
KSPH,Springhill Airport
KSPI,Abraham Lincoln Capital Airport
KSPS,Sheppard AFB / Wichita Falls Municipal Airport
KSPW,Spencer Municipal Airport
KSQI,Whiteside County Airport (Jos. H. Bittorf Field)
KSQL,San Carlos Airport
KSRB,Upper Cumberland Regional Airport
KSRC,Searcy Municipal Airport
KSRE,Seminole Municipal Airport
KSRQ,Sarasota-Bradenton International Airport
KSRR,Sierra Blanca Regional Airport
KSSC,Shaw AFB
KSSF,Stinson Municipal Airport
KSSI,Malcolm McKinnon Airport
KSSQ,Shell Lake Municipal Airport
KSTC,St. Cloud Regional Airport
KSTE,Stevens Point Municipal Airport
KSTJ,Rosecrans Memorial Airport
KSTK,Sterling Municipal Airport
KSTL,St. Louis Lambert International Airport
KSTP,St. Paul Downtown Airport (Holman Field)
KSTS,Charles M. Schulz Sonoma County Airport
KSUA,Witham Field
KSUD,Stroud Municipal Airport
KSUE,Door County Cherryland Airport
KSUN,Friedman Memorial Airport
KSUS,Spirit of St. Louis Airport
KSUT,Brunswick County Airport
KSUU,Travis AFB
KSUW,Richard I. Bong Airport
KSUX,Sioux Gateway Airport
KSVC,Grant County Airport
KSVE,Susanville Municipal Airport
KSVH,Statesville Regional Airport
KSVN,Hunter AAF
KSWF,Stewart International Airport
KSWI,Sherman Municipal Airport
KSWO,Stillwater Regional Airport
KSWT,Seward Municipal Airport
KSWW,Avenger Field
KSYF,Cheyenne County Municipal Airport
KSYI,Shelbyville Municipal Airport (Bomar Field)
KSYL,Roberts Army Heliport
KSYN,Stanton Airfield
KSYR,Syracuse Hancock International Airport
KSYV,Sylvester Airport
KSZL,Whiteman AFB
KSZN,Santa Cruz Island Airport
KSZP,Saenz Peña Airport
KSZT,Sandpoint Airport
KSZY,Robert Sibley Airport
KTAD,Perry Stokes Airport
KTAN,Taunton Municipal Airport
KTAZ,Taylorville Municipal Airport
KTBN,Waynesville Regional Airport (Forney Field)
KTBR,Statesboro-Bulloch County Airport
KTCC,Tucumcari Municipal Airport
KTCL,Tuscaloosa Regional Airport
KTCM,McChord AFB
KTCS,Truth or Consequences Municipal Airport
KTCY,Tracy Municipal Airport
KTDF,Person County Airport
KTDO,South Lewis County Airport (Ed Carlson Memorial Field)
KTDW,Tradewind Airport
KTDZ,Metcalf Field
KTEB,Teterboro Airport
KTEL,Perry County Municipal Airport
KTEW,Mason Jewett Field
KTEX,Telluride Regional Airport
KTGC,Gibson County Airport
KTGI,Tangier Island Airport
KTHA,Tullahoma Regional Airport (William Northern Field)
KTHM,Thompson Falls Airport
KTHP,Hot Springs County-Thermopolis Municipal Airport
KTHV,York Airport
KTIK,Tinker AFB
KTIP,Rantoul National Aviation Center (Frank Elliott Field)
KTIW,Tacoma Narrows Airport
KTIX,Space Coast Regional Airport
KTKC,Tracy Municipal Airport
KTKI,Collin County Regional Airport at McKinney
KTKO,Mankato Airport
KTKV,Tomahawk Regional Airport
KTKX,Kennett Memorial Airport
KTLH,Tallahassee Regional Airport
KTLR,Mefford Field
KTMA,Henry Tift Myers Airport
KTMB,Miami Executive Airport
KTMK,Tillamook Airport
KTNP,Twentynine Palms Airport
KTNT,Dade-Collier Training and Transition Airport
KTNU,Newton Municipal Airport
KTNX,Tonopah Test Range Airport
KTOA,Zamperini Field
KTOB,Dodge Center Airport
KTOC,Toccoa RG Letourneau Field
KTOI,Troy Municipal Airport
KTOL,Toledo Express Airport
KTOP,Philip Billard Municipal Airport
KTOR,Torrington Municipal Airport
KTPA,Tampa International Airport
KTPF,Peter O. Knight Airport
KTPH,Tonopah Airport
KTPL,Draughon-Miller Central Texas Regional Airport
KTQE,Tekamah Municipal Airport
KTQH,Tahlequah Municipal Airport
KTQK,Scott City Municipal Airport
KTRI,Tri-Cities Regional Airport
KTRK,Truckee-Tahoe Airport
KTRL,Terrell Municipal Airport
KTRM,Jacqueline Cochran Regional Airport
KTRX,Trenton Municipal Airport
KTSO,Carroll County-Tolson Airport
KTSP,Tehachapi Municipal Airport
KTTD,Portland-Troutdale Airport
KTTF,Custer Airport
KTTN,Trenton-Mercer Airport
KTUL,Tulsa International Airport
KTUP,Tupelo Regional Airport
KTUS,Tucson International Airport
KTVB,Cabool Memorial Airport
KTVC,Cherry Capital Airport
KTVF,Thief River Falls Regional Airport
KTVI,Thomasville Regional Airport
KTVK,Centerville Municipal Airport
KTVL,Lake Tahoe Airport
KTVR,Vicksburg Tallulah Regional Airport
KTVY,Tooele Valley Airport (Bolinder Field)
KTWF,Joslin Field - Magic Valley Regional Airport
KTWM,Richard B. Helgeson Airport
KTXK,Texarkana Regional Airport (Webb Field)
KTYL,Taylor Airport
KTYR,Tyler Pounds Regional Airport
KTYS,McGhee Tyson Airport
KTZR,Bolton Field
KTZT,Belle Plaine Municipal Airport
KTZV,Tompkinsville-Monroe County Airport
KU70,Cascade Airport
KUAO,Aurora State Airport
KUBE,Cumberland Municipal Airport
KUBS,Columbus-Lowndes County Airport
KUBX,Cuba Municipal Airport
KUCA,Oneida County Airport
KUCP,New Castle Municipal Airport
KUCY,Everett-Stewart Airport
KUDD,Bermuda Dunes Airport
KUDG,Darlington County Jetport Airport
KUES,Waukesha County Airport
KUGN,Waukegan National Airport
KUIL,Quillayute Airport
KUIN,Quincy Regional Airport (Baldwin Field)
KUKF,Wilkes County Airport
KUKI,Ukiah Municipal Airport
KUKL,Coffey County Airport
KUKT,Quakertown Airport
KULM,New Ulm Municipal Airport
KULS,Ulysses Airport
KUMP,Indianapolis Metropolitan Airport
KUNU,Dodge County Airport
KUNV,University Park Airport
KUOS,Franklin County Airport
KUOX,University-Oxford Airport
KUSE,Fulton County Airport
KUTA,Tunica Municipal Airport
KUTS,Huntsville Municipal Airport
KUUU,Newport State Airport (Rhode Island)
KUUV,Sullivan Regional Airport
KUVA,Garner Field
KUWL,New Castle-Henry County Municipal Airport
KUYF,Madison County Airport
KUZA,Rock Hill/York County Airport (Bryant Field)
KVAD,Moody AFB
KVAY,South Jersey Regional Airport
KVBG,Vandenberg AFB
KVBT,Bentonville Municipal Airport (Louise M. Thaden Field)
KVBW,Bridgewater Air Park Airport
KVCB,Nut Tree Airport
KVCT,Victoria Regional Airport
KVCV,Southern California Logistics Airport
KVDI,Vidalia Regional Airport
KVEL,Vernal Airport
KVES,Darke County Airport
KVGT,North Las Vegas Airport
KVHN,Culberson County Airport
KVIH,Rolla National Airport
KVIQ,Neillsville Municipal Airport
KVIS,Visalia Municipal Airport
KVJI,Virginia Highlands Airport
KVKS,Vicksburg Municipal Airport
KVLA,Vandalia Municipal Airport
KVLD,Valdosta Regional Airport
KVMR,Harold Davidson Field
KVNC,Venice Municipal Airport
KVNW,Van Wert County Airport
KVNY,Van Nuys Airport
KVOK,Volk Field
KVPC,Cartersville Airport
KVPS,Okaloosa Regional Airport / Eglin AFB
KVPZ,Porter County Municipal Airport
KVQQ,Cecil Field
KVRB,Vero Beach Municipal Airport
KVSF,Hartness State (Springfield) Airport
KVTA,Newark-Heath Airport
KVTI,Vinton Veterans Memorial Airpark
KVTN,Miller Field
KVUJ,Stanly County Airport
KVUO,Pearson Field
KVVS,Connellsville Airport
KVVV,Ortonville Municipal Airport (Martinson Field)
KVWU,Waskish Municipal Airport
KVYS,Illinois Valley Regional Airport (Walter A. Duncan Field)
KWAL,Wallops Flight Facility Airport
KWAY,Greene County Airport
KWBW,Wilkes-Barre Wyoming Valley Airport
KWDG,Enid Woodring Regional Airport
KWDR,Winder-Barrow Airport
KWEA,Parker County Airport
KWHF,Wadi Halfa Airport
KWHP,Whiteman Airport
KWJF,General William J. Fox Airfield
KWLD,Strother Field
KWLW,Willows-Glenn County Airport
KWMC,Winnemucca Municipal Airport
KWRB,Robins AFB
KWRI,McGuire Air Force Base
KWRL,Worland Municipal Airport
KWSD,Condron AAF
KWST,Westerly State Airport
KWVI,Watsonville Municipal Airport
KWVL,Waterville Robert LaFleur Airport
KWWD,Cape May Airport
KWWR,West Woodward Airport
KWYS,Yellowstone Airport
KXNA,Northwest Arkansas Regional Airport
KXTA,Area 51
KYIP,Willow Run Airport
KYKM,Yakima Air Terminal (McAllister Field)
KYKN,Chan Gurney Municipal Airport
KYNG,Youngstown-Warren Regional Airport
KYUM,Yuma International Airport / MCAS Yuma
KZEF,Elkin Municipal Airport
KZER,Schuylkill County Airport (Joe Zerbey Field)
KZPH,Zephyrhills Municipal Airport
KZUN,Black Rock Airport
KZZV,Zanesville Municipal Airport
LATI,Tirana International Airport
LBBG,Burgas Airport
LBGO,Gorna Oriakhovitza Airport
LBPD,Plovdiv International Airport
LBPL,Dolna Mitropoliya Air Base
LBRS,Rousse Airport
LBSF,Sofia Airport
LBSS,Silistra Polkovnik Lambrinovo Airfield
LBSZ,Stara Zagora Airport
LBVD,Vidin Smurdan Airfield
LBWN,Varna Airport
LCEN,Ercan International Airport
LCLK,Larnaca International Airport
LCPH,Paphos International Airport
LCRA,RAF Akrotiri
LDDU,Dubrovnik Airport
LDLO,LoÅ¡inj Island Airport
LDOS,Osijek Airport
LDPL,Pula Airport
LDRI,Riviera Kvarner Airport
LDSB,Bol Airport
LDSP,Split Airport
LDZA,Zagreb Airport
LDZD,Zadar Airport
LEAB,Albacete-Los Llanos Airport
LEAL,El Altet Airport
LEAM,Almería International Airport
LEAS,Asturias Airport (Oviedo Airport)
LEBA,Córdoba Airport
LEBA,Córdoba Airport
LEBB,Bilbao Airport
LEBG,Burgos Airport
LEBL,Josep Tarradellas Barcelona–El Prat Airport
LEBZ,Talavera la Real Airport
LECN,Castellon De La Plana Airport
LECO,La Coruña Airport
LEDQ,Ciudad Real Central Airport
LEGE,Girona-Costa Brava Airport
LEGR,"Granada-Jaen Airport, Spain."
LEGU,Guadalupe Airport
LEIB,Ibiza Airport
LEJR,Jerez Airport
LELC,Murcia-San Javier Airport
LELL,Sabadell Airport
LELN,Leon Airport
LELO,Logroño-Agoncillo Airport
LEMD,Madrid–Barajas Airport
LEMF,Mafé - Gibraleón Airport
LEMG,Pablo Ruiz Picasso Airport
LEMH,Mahon Airport
LEMO,Moron Air Base
LEPA,Son Sant Joan Airport (Palma de Mallorca Airport)
LEPP,Pamplona Airport
LERL,Ciudad Real Central Airport
LERS,Reus Airport
LESA,Matacán Airport
LESO,San Sebastián Airport (or Fuenterrabia Airport)
LEST,Santiago de Compostela Airport
LESU,Aeròdrom dels Pirineus-Alt Urgell Airport
LETO,Madrid-Torrejón Airport
LEVC,Valencia Airport
LEVD,Valladolid Airport
LEVT,Vitoria Foronda International Airport
LEVX,Vigo-Peinador Airport
LEXJ,Santander - Parayas Airport
LEZG,Zaragoza Airport
LEZL,San Pablo Airport
LFAB,St Aubin Airport
LFAC,Calais - Dunkerque Airport
LFAD,Compiègne Margny Airport
LFAF,Laon - Chambry Airport
LFAG,Péronne-Saint-Quentin Airport
LFAK,Dunkerque les Moeres Airport
LFAQ,Albert-Bray Airport
LFAT,Le Touquet-Céte d'Opale Airport
LFAV,Valenciennes-Denain Airport
LFAY,Amiens-Glisy Airport
LFBA,Agen - La Garenne Aerodrome
LFBD,Bordeaux - Mérignac Airport
LFBE,Bergerac-Roumanière Airport
LFBG,Cognac-Châteaubernard (BA 709) Air Base
LFBH,La Rochelle - Île de Ré Airport
LFBI,Poitiers - Biard Airport
LFBK,Montluçon-Guéret Airport
LFBL,Bellegarde Airport
LFBM,Mont-de-Marsan (BA 118) Air Base
LFBN,Niort-Souché Airport
LFBO,Toulouse Blagnac International Airport
LFBP,Pyrenees Airport
LFBT,Tarbes - Lourdes Pyrenees Airport
LFBU,Angoulême - Brie - Champniers Airport
LFBV,Brive - La Roche Airport
LFBX,Perigueux-Bassillac Aéroport
LFBY,Seyresse Airport
LFBZ,Biarritz - Anglet - Bayonne Airport
LFCA,Châtellerault Airport
LFCC,Cahors-Lalbenque Airport
LFCE,Guéret St Laurent Airport
LFCH,La Teste-de-Buch Airport
LFCI,Le Sequestre Airport
LFCK,Castres-Mazamet Airport
LFCR,Rodez-Marcillac Airport
LFCY,Royan-Médis Airport
LFDB,Montauban Airport
LFDI,Libourne-Artigues-de-Lussac Airport
LFDN,Rochefort-Saint-Agnant (BA 721) Airport
LFDS,Sarlat Domme Airport
LFDT,Tarbes Laloubère Airport
LFEY,Île d'Yeu Airport
LFGA,Colmar-Houssen Airport
LFGF,Beaune-Challanges Airport
LFGJ,Dole/Tavaux Airport
LFGW,Verdun-Le Rozelier Airport
LFHM,Megève Airport
LFHO,Aubenas-Ardèche Méridional Airport
LFHP,Le Puy-Loudes Airport
LFHS,Bourg - Ceyzériat Airport
LFHU,Alpe d'Huez Airport
LFHY,Montbeugny Airport
LFIO,Montaudran Airport
LFJL,Metz-Nancy-Lorraine Airport
LFJR,Angers-Loire Airport
LFKB,Bastia - Poretta Airport
LFKC,Calvi Sainte-Catherine Airport
LFKF,Sud Corse Airport
LFKJ,Ajaccio Napoleon Bonaparte Airport
LFKO,Propriano Airport
LFKS,Solenzara (BA 126) Air Base
LFKX,Méribel Airport
LFLA,Auxerre - Branches Airport
LFLB,Chambéry Airport
LFLC,Auvergne Airport
LFLD,Bourges Airport
LFLI,Annemasse Airport
LFLJ,Courchevel Airport
LFLL,Lyon–Saint-Exupéry Airport
LFLM,Mâcon-Charnay Airport
LFLN,Saint-Yan Airport
LFLO,Roanne-Renaison Airport
LFLP,Meythet Airport
LFLQ,Montélimar - Ancéne Airport
LFLS,Grenoble-Isère Airport
LFLT,Montluçon-Domérat Airport
LFLU,Valence-Chabeuil Airport
LFLV,Vichy-Charmeil Airport
LFLW,Aurillac Airport
LFLX,"Châteauroux-Déols ""Marcel Dassault"" Airport"
LFLY,Lyon-Bron Airport
LFMA,Aix Les Milles Airport
LFMD,Cannes - Mandelieu Airport
LFMH,Saint-Étienne - Bouthéon Airport
LFMI,Istres Le Tubé/Istres Air Base (BA 125) Airport
LFMK,Carcassonne Salvaza Airport
LFML,Marseille Provence Airport
LFMN,Côte d'Azur International Airport
LFMO,Orange-Caritat Air Base
LFMP,Perpignan/Rivesaltes Aéroport
LFMQ,Le Castellet Airport
LFMR,Barcelonnette - Saint-Pons Airport
LFMS,Alès-Deaux Airport
LFMT,Mediterranée Airport
LFMU,Béziers Vias Airport
LFMV,Avignon - Caumont Airport
LFNA,Gap - Tallard Airport
LFNB,Mende-Brenoux Airport
LFNC,Mont-Dauphin - St-Crépin Airport
LFOB,Paris Beauvais Tillé Airport
LFOD,Saumur-Saint-Florent Airport
LFOE,Évreux-Fauville Air Base
LFOF,Alençon Valframbert Airport
LFOH,Le Havre Octeville Airport
LFOI,Abbeville - Buigny-Saint-Maclou Aerodrome
LFOJ,Orléans-Bricy (BA 123) Air Base
LFOK,Châlons-Vatry Air Base
LFOO,Les Sables-d'Olonne Talmont Airport
LFOP,Rouen Airport
LFOQ,Blois-Le Breuil Airport
LFOR,Chartres Champhol Airport
LFOT,Tours Val de Loire Airport
LFOU,Le Pontreau Airport
LFOV,Laval-Entrammes Airport
LFPB,Paris - Le Bourget Airport
LFPC,Creil Air Base
LFPG,Charles de Gaulle International Airport
LFPN,Toussus-le-Noble Airport
LFPO,Orly International Airport
LFPT,Pontoise Airport
LFPV,Villacoublay-Vélizy (BA 107) Air Base
LFQB,Barberey Airport
LFQG,Nevers-Fourchambault Airport
LFQI,Cambrai-Épinoy (BA 103) Air Base
LFQJ,Maubeuge-Élesmes Airport
LFQQ,Lille-Lesquin Airport
LFQT,Merville Calonne Airport
LFQV,Charleville-Mézières Airport
LFQW,Vesoul-Frotey Airport
LFRA,Angers - Avrillé Aerodrome (Angers-Marcé Airport)
LFRB,Brest Bretagne Airport
LFRC,Cherbourg - Maupertus Airport
LFRD,Dinard/Plertuit/St. Malo Airport
LFRE,La Baule-Escoublac Airport
LFRF,Granville Airport
LFRG,Deauville/Saint Gatien Airport
LFRH,Lorient South Brittany Airport
LFRI,La Roche-sur-Yon Aerodrome
LFRJ,Landivisiau Air Base
LFRK,Caen - Carpiquet_Airport
LFRM,Le Mans-Arnage Airport
LFRN,St. Jacques Airport
LFRO,Lannion - Côte de Granit Airport
